epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,945.325,0.49777,0.35392,0.9704,0.97696,0.97919,0.97828,0.89432,0.50272,0.39398,0.82438,0.000703961,0.000703961,0.000703961
43,968.048,0.48367,0.35187,0.9636,0.96968,0.98751,0.97703,0.89631,0.49691,0.3692,0.80875,0.000686277,0.000686277,0.000686277
44,989.342,0.47897,0.32631,0.95499,0.97145,0.97945,0.97503,0.89865,0.50798,0.37067,0.8049,0.000668593,0.000668593,0.000668593
45,1011.01,0.46025,0.3335,0.96829,0.97891,0.97921,0.97901,0.88589,0.53955,0.36232,0.81243,0.000650909,0.000650909,0.000650909
46,1033.11,0.48002,0.33336,0.95701,0.97793,0.97919,0.97807,0.88013,0.52412,0.3715,0.82808,0.000633226,0.000633226,0.000633226
47,1053.86,0.47151,0.3143,0.95976,0.97706,0.97849,0.97998,0.889,0.49829,0.3792,0.79921,0.000615542,0.000615542,0.000615542
48,1074.36,0.46481,0.31929,0.95913,0.9789,0.97849,0.97877,0.88744,0.52582,0.39797,0.82131,0.000597858,0.000597858,0.000597858
49,1095.26,0.47999,0.33227,0.97612,0.97916,0.9792,0.9866,0.90509,0.50296,0.36162,0.87431,0.000580174,0.000580174,0.000580174
50,1118.6,0.46777,0.3252,0.97647,0.9768,0.98925,0.98333,0.89632,0.49307,0.37998,0.83943,0.00056249,0.00056249,0.00056249
51,1139.78,0.451,0.31815,0.94404,0.97713,0.98693,0.98432,0.88772,0.52561,0.37373,0.86672,0.000544806,0.000544806,0.000544806
52,1160.59,0.47915,0.32374,0.95472,0.97576,0.98925,0.98483,0.90393,0.48042,0.37084,0.81075,0.000527122,0.000527122,0.000527122
53,1182.01,0.45634,0.31756,0.95741,0.96922,0.98772,0.98921,0.91197,0.47243,0.3461,0.81949,0.000509438,0.000509438,0.000509438
54,1202.55,0.44235,0.29993,0.96335,0.97562,0.9798,0.9841,0.8974,0.48241,0.33151,0.81352,0.000491755,0.000491755,0.000491755
55,1221.84,0.44019,0.29726,0.9361,0.97737,0.97962,0.98756,0.91638,0.45703,0.33738,0.81538,0.000474071,0.000474071,0.000474071
56,1244.94,0.44572,0.30374,0.93514,0.97834,0.97931,0.98865,0.91293,0.44584,0.3326,0.79064,0.000456387,0.000456387,0.000456387
57,1265.97,0.44251,0.2949,0.92617,0.97867,0.97916,0.98933,0.92235,0.47151,0.3348,0.8044,0.000438703,0.000438703,0.000438703
58,1290.06,0.43261,0.29461,0.93479,0.97917,0.97914,0.97922,0.90085,0.48335,0.35546,0.79449,0.000421019,0.000421019,0.000421019
