1509.5,1546.0,821.0,2882.0,1511.0,2359.5,810.0,941.0,1480.0,257.5,384.0,293.0
1517.0,1547.5,814.0,2879.0,1516.5,2359.0,793.0,954.0,1491.5,258.0,383.0,292.0
1516.5,1545.5,817.0,2881.0,1517.5,2360.5,803.0,959.0,1489.5,256.0,383.0,292.0
1518.5,1548.5,823.0,2879.0,1522.0,2363.0,816.0,966.0,1493.0,256.0,380.0,294.0
1509.0,1541.5,826.0,2891.0,1513.5,2368.0,827.0,978.0,1484.0,251.0,384.0,296.0
1511.0,1544.0,828.0,2886.0,1515.5,2364.0,825.0,974.0,1486.5,253.0,381.0,294.0
1509.0,1544.5,830.0,2885.0,1513.5,2366.0,825.0,976.0,1485.5,254.5,385.0,297.0
1511.5,1545.0,831.0,2884.0,1515.0,2365.5,822.0,975.0,1487.5,253.0,383.0,290.0
1513.0,1545.5,830.0,2885.0,1515.0,2365.0,822.0,974.0,1486.5,255.5,381.0,293.0
1521.0,1550.5,824.0,2875.0,1520.5,2364.0,817.0,970.0,1496.5,259.0,377.0,290.0
1526.0,1550.5,826.0,2873.0,1525.0,2361.0,820.0,966.0,1502.5,261.0,377.0,290.0
1518.5,1549.0,823.0,2874.0,1516.0,2364.0,820.0,970.0,1496.5,260.0,377.0,292.0
1518.5,1549.0,823.0,2876.0,1516.0,2363.0,822.0,966.0,1497.0,262.0,378.0,294.0
1521.0,1548.0,824.0,2878.0,1519.5,2364.0,819.0,968.0,1499.0,258.0,378.0,290.0
1519.0,1548.5,822.0,2879.0,1518.0,2365.0,816.0,968.0,1498.5,256.0,379.0,288.0
1521.0,1545.0,824.0,2884.0,1519.5,2365.0,815.0,966.0,1500.0,253.5,380.0,291.0
1520.0,1544.0,824.0,2886.0,1524.0,2380.5,820.0,969.0,1498.5,247.5,381.0,289.0
1521.0,1544.5,826.0,2887.0,1520.5,2375.5,823.0,981.0,1499.0,247.5,380.0,289.0
1520.5,1541.5,825.0,2893.0,1518.0,2378.5,826.0,983.0,1499.0,245.5,380.0,293.0
1520.0,1540.5,824.0,2895.0,1517.0,2381.0,826.0,986.0,1499.0,242.5,382.0,291.0
1524.0,1538.5,828.0,2897.0,1522.5,2378.5,823.0,985.0,1503.0,242.0,382.0,290.0
1523.0,1539.0,826.0,2892.0,1522.5,2374.0,815.0,982.0,1500.5,240.5,383.0,289.0
1531.0,1535.0,836.0,2900.0,1531.0,2379.0,826.0,998.0,1508.5,234.5,385.0,293.0
1527.0,1533.5,834.0,2899.0,1529.5,2372.5,823.0,979.0,1506.0,235.0,386.0,296.0
1531.0,1536.5,834.0,2897.0,1530.0,2369.0,820.0,974.0,1509.5,241.0,385.0,298.0
1526.0,1535.0,828.0,2896.0,1524.0,2369.5,814.0,967.0,1504.5,240.5,385.0,295.0
1525.0,1535.0,828.0,2898.0,1523.0,2369.5,810.0,965.0,1504.0,242.5,386.0,301.0
1523.5,1533.0,825.0,2900.0,1523.5,2370.5,811.0,969.0,1502.0,235.5,386.0,297.0
1522.5,1534.0,827.0,2902.0,1521.0,2371.5,814.0,967.0,1501.0,234.5,386.0,297.0
1520.0,1534.5,828.0,2901.0,1516.5,2368.5,825.0,967.0,1499.0,233.5,384.0,301.0
1519.0,1533.0,830.0,2902.0,1517.0,2368.0,826.0,966.0,1498.5,229.0,383.0,298.0
1522.0,1534.0,832.0,2906.0,1520.0,2365.0,820.0,958.0,1500.5,232.5,387.0,303.0
1522.5,1536.0,829.0,2904.0,1525.0,2365.5,808.0,953.0,1499.5,234.0,387.0,294.0
