1457.0,1587.5,988.0,2817.0,1439.5,2183.5,971.0,929.0,1556.5,334.5,399.0,297.0
1478.0,1581.5,954.0,2833.0,1471.0,2188.5,916.0,931.0,1562.5,324.5,399.0,299.0
1480.0,1575.5,922.0,2849.0,1483.0,2194.5,884.0,941.0,1555.5,310.0,403.0,304.0
1503.5,1569.5,871.0,2857.0,1508.5,2192.5,855.0,935.0,1566.5,308.5,413.0,319.0
1508.0,1564.5,856.0,2871.0,1518.5,2190.0,823.0,948.0,1559.0,302.5,416.0,337.0
1505.5,1566.5,821.0,2865.0,1525.0,2186.5,776.0,947.0,1545.5,314.5,425.0,345.0
1517.0,1565.0,790.0,2868.0,1525.5,2186.0,779.0,948.0,1545.0,316.5,426.0,347.0
1510.0,1563.5,776.0,2873.0,1512.0,2187.5,772.0,951.0,1531.5,315.5,429.0,355.0
1500.0,1569.5,758.0,2861.0,1497.5,2182.5,745.0,945.0,1516.5,325.0,425.0,352.0
1490.0,1570.5,746.0,2859.0,1490.5,2184.0,737.0,944.0,1504.0,322.5,428.0,349.0
1510.5,1582.0,787.0,2836.0,1512.5,2179.0,787.0,940.0,1494.0,326.0,424.0,332.0
1509.5,1580.5,829.0,2833.0,1518.0,2182.0,808.0,930.0,1471.0,333.0,416.0,334.0
1506.5,1581.5,849.0,2829.0,1526.0,2179.0,818.0,938.0,1445.5,329.5,421.0,315.0
1487.5,1591.5,883.0,2805.0,1513.5,2173.0,855.0,918.0,1415.0,337.0,406.0,298.0
1449.0,1593.0,922.0,2800.0,1483.5,2178.0,875.0,912.0,1374.5,340.0,409.0,290.0
1449.5,1603.0,963.0,2788.0,1472.0,2171.0,910.0,912.0,1359.0,353.0,404.0,286.0
1457.5,1603.5,967.0,2781.0,1472.0,2169.5,926.0,911.0,1356.0,353.0,400.0,280.0
1481.0,1615.0,960.0,2768.0,1482.0,2163.5,932.0,899.0,1361.0,363.5,402.0,279.0
1493.0,1613.5,962.0,2765.0,1492.5,2165.0,941.0,894.0,1365.0,367.0,400.0,276.0
1507.5,1614.0,955.0,2760.0,1507.0,2164.0,926.0,898.0,1374.0,372.5,398.0,279.0
1490.5,1959.0,939.0,2030.0,1498.5,2138.0,831.0,862.0,1467.0,1471.0,400.0,352.0
1503.5,1966.0,953.0,2026.0,1511.5,2139.0,813.0,872.0,1445.0,1468.0,428.0,358.0
1511.0,1966.0,958.0,2022.0,1522.5,2140.5,797.0,879.0,1426.0,1466.5,436.0,363.0
1512.5,1965.5,953.0,2027.0,1536.0,2141.5,772.0,881.0,1398.0,1467.5,424.0,361.0
1514.0,1969.5,926.0,2021.0,1537.5,2143.0,763.0,888.0,1375.0,1470.0,434.0,358.0
1531.5,1953.0,887.0,2068.0,1549.5,2141.0,757.0,900.0,1347.5,1464.0,431.0,372.0
1524.0,1944.0,872.0,2086.0,1537.5,2139.5,757.0,899.0,1325.5,1462.5,443.0,379.0
1503.5,1946.0,869.0,2090.0,1530.5,2140.0,739.0,900.0,1295.0,1466.5,432.0,369.0
1483.0,1930.5,852.0,2107.0,1520.0,2146.0,732.0,904.0,1262.5,1469.5,423.0,359.0
1474.5,1920.5,841.0,2127.0,1515.5,2146.0,739.0,900.0,1258.5,1474.0,427.0,352.0
1479.5,1918.0,845.0,2134.0,1519.5,2145.0,745.0,894.0,1258.0,1479.0,416.0,338.0
1502.5,1921.5,851.0,2121.0,1541.5,2140.0,759.0,888.0,1292.5,1486.0,413.0,324.0
1535.5,1933.5,841.0,2113.0,1559.5,2134.5,763.0,885.0,1323.0,1485.0,402.0,302.0
1556.5,1936.5,821.0,2105.0,1565.0,2136.5,768.0,887.0,1342.0,1486.5,388.0,287.0
1562.5,1933.5,815.0,2101.0,1561.5,2134.5,781.0,875.0,1355.5,1494.0,379.0,290.0
1545.0,1951.5,902.0,2069.0,1550.0,2137.0,820.0,870.0,1386.0,1504.0,358.0,288.0
