bottle_exists,bottle_x,bottle_y,bottle_w,bottle_h,label_x,label_y,label_w,label_h,cap_x,cap_y,cap_w,cap_h,target
1,1.012,1.0216666666666667,0.5293333333333333,1.938,1.0103333333333333,1.4176666666666666,0.5193333333333333,0.6126666666666667,0.989,0.15066666666666667,0.25533333333333336,0.19466666666666665,no_defect
1,1.0126666666666666,1.0236666666666667,0.5346666666666666,1.938,1.0113333333333334,1.419,0.5226666666666666,0.6126666666666667,0.9883333333333333,0.14933333333333335,0.258,0.19333333333333333,no_defect
1,1.016,1.0226666666666666,0.536,1.94,1.0153333333333334,1.4196666666666666,0.5266666666666666,0.6113333333333333,0.991,0.14933333333333335,0.26066666666666666,0.19466666666666665,no_defect
1,1.0123333333333333,1.0253333333333334,0.5353333333333333,1.9386666666666668,1.012,1.419,0.524,0.6126666666666667,0.986,0.14966666666666667,0.256,0.194,no_defect
1,1.0216666666666667,1.0253333333333334,0.5353333333333333,1.9413333333333334,1.0216666666666667,1.4196666666666666,0.53,0.61,0.9933333333333333,0.15,0.25733333333333336,0.196,no_defect
1,1.0243333333333333,1.0256666666666667,0.5326666666666666,1.9393333333333334,1.0253333333333334,1.4183333333333332,0.5266666666666666,0.61,0.9963333333333333,0.15033333333333335,0.25666666666666665,0.194,no_defect
1,1.0256666666666667,1.025,0.534,1.9393333333333334,1.0263333333333333,1.418,0.526,0.612,0.997,0.14933333333333335,0.25666666666666665,0.19333333333333333,no_defect
1,1.025,1.024,0.534,1.94,1.0253333333333334,1.4186666666666667,0.528,0.6093333333333333,0.9956666666666667,0.14966666666666667,0.25533333333333336,0.194,no_defect
1,1.0246666666666666,1.0246666666666666,0.5333333333333333,1.94,1.025,1.4166666666666667,0.5273333333333333,0.608,0.9946666666666667,0.151,0.256,0.198,no_defect
1,1.023,1.0243333333333333,0.5366666666666666,1.942,1.0236666666666667,1.4186666666666667,0.5313333333333333,0.6106666666666667,0.9946666666666667,0.147,0.26,0.19533333333333333,no_defect
1,1.0283333333333333,1.023,0.5353333333333333,1.9446666666666668,1.0286666666666666,1.4156666666666666,0.5266666666666666,0.6113333333333333,0.9973333333333333,0.14866666666666667,0.2613333333333333,0.19733333333333333,no_defect
1,1.025,1.0246666666666666,0.534,1.9426666666666668,1.024,1.4173333333333333,0.528,0.6093333333333333,0.9946666666666667,0.15,0.26266666666666666,0.19466666666666665,no_defect
1,1.0243333333333333,1.0236666666666667,0.5326666666666666,1.9433333333333334,1.0243333333333333,1.4173333333333333,0.5273333333333333,0.6066666666666667,0.9953333333333333,0.149,0.25733333333333336,0.194,no_defect
1,1.0246666666666666,1.024,0.5333333333333333,1.9426666666666668,1.0236666666666667,1.417,0.5233333333333333,0.606,0.995,0.15033333333333335,0.25666666666666665,0.194,no_defect
1,1.024,1.0253333333333334,0.5333333333333333,1.94,1.024,1.4173333333333333,0.5293333333333333,0.608,0.995,0.15,0.25666666666666665,0.19333333333333333,no_defect
1,1.02,1.0263333333333333,0.5346666666666666,1.9393333333333334,1.0203333333333333,1.4176666666666666,0.5286666666666666,0.6046666666666667,0.99,0.15133333333333332,0.256,0.196,no_defect
1,1.02,1.0263333333333333,0.5346666666666666,1.9393333333333334,1.0186666666666666,1.417,0.5306666666666666,0.606,0.9896666666666667,0.15066666666666667,0.25666666666666665,0.196,no_defect
1,1.018,1.0263333333333333,0.5346666666666666,1.9406666666666668,1.017,1.417,0.53,0.6033333333333334,0.9873333333333333,0.14966666666666667,0.256,0.19266666666666668,no_defect
1,1.018,1.0263333333333333,0.5346666666666666,1.9393333333333334,1.0173333333333334,1.4166666666666667,0.5306666666666666,0.6013333333333334,0.9873333333333333,0.15033333333333335,0.25466666666666665,0.19266666666666668,no_defect
1,1.018,1.027,0.5333333333333333,1.9393333333333334,1.0166666666666666,1.4163333333333334,0.532,0.6006666666666667,0.9876666666666667,0.152,0.25533333333333336,0.19333333333333333,no_defect
1,1.0166666666666666,1.0263333333333333,0.532,1.9393333333333334,1.0153333333333334,1.4163333333333334,0.5306666666666666,0.6006666666666667,0.9853333333333333,0.15166666666666667,0.256,0.194,no_defect
1,1.0166666666666666,1.0276666666666667,0.5306666666666666,1.938,1.0153333333333334,1.4163333333333334,0.5293333333333333,0.5993333333333334,0.9863333333333333,0.15333333333333332,0.25666666666666665,0.19466666666666665,no_defect
1,1.0153333333333334,1.025,0.5293333333333333,1.942,1.0146666666666666,1.4163333333333334,0.528,0.5993333333333334,0.9853333333333333,0.15333333333333332,0.256,0.19333333333333333,no_defect
1,1.017,1.0266666666666666,0.53,1.9413333333333334,1.0153333333333334,1.4163333333333334,0.528,0.6006666666666667,0.986,0.15233333333333332,0.25466666666666665,0.19266666666666668,no_defect
1,1.015,1.027,0.5313333333333333,1.9406666666666668,1.0133333333333334,1.4173333333333333,0.528,0.6026666666666667,0.985,0.15166666666666667,0.25533333333333336,0.19266666666666668,no_defect
1,1.017,1.0263333333333333,0.53,1.9406666666666668,1.0146666666666666,1.4173333333333333,0.528,0.6026666666666667,0.986,0.15066666666666667,0.25466666666666665,0.192,no_defect
1,1.0146666666666666,1.0266666666666666,0.532,1.94,1.013,1.4176666666666666,0.5273333333333333,0.6033333333333334,0.9833333333333333,0.15133333333333332,0.25466666666666665,0.192,no_defect
1,1.0113333333333334,1.026,0.5293333333333333,1.94,1.0103333333333333,1.4176666666666666,0.5246666666666666,0.6033333333333334,0.981,0.15033333333333335,0.25533333333333336,0.19266666666666668,no_defect
1,1.0103333333333333,1.0253333333333334,0.5313333333333333,1.944,1.011,1.4173333333333333,0.522,0.6066666666666667,0.9796666666666667,0.149,0.254,0.19133333333333333,no_defect
1,1.0093333333333334,1.026,0.5306666666666666,1.94,1.011,1.417,0.522,0.6073333333333333,0.98,0.14833333333333334,0.25466666666666665,0.19133333333333333,no_defect
1,1.0096666666666667,1.026,0.5313333333333333,1.94,1.011,1.4163333333333334,0.522,0.6046666666666667,0.9806666666666667,0.14966666666666667,0.25466666666666665,0.194,no_defect
1,1.01,1.0246666666666666,0.532,1.9426666666666668,1.0093333333333334,1.4166666666666667,0.5253333333333333,0.608,0.9796666666666667,0.149,0.254,0.19133333333333333,no_defect
1,1.0096666666666667,1.026,0.5313333333333333,1.94,1.0086666666666666,1.417,0.5266666666666666,0.6086666666666667,0.9796666666666667,0.14866666666666667,0.254,0.192,no_defect
1,1.01,1.0243333333333333,0.5306666666666666,1.9433333333333334,1.0096666666666667,1.417,0.5246666666666666,0.6073333333333333,0.9796666666666667,0.149,0.25533333333333336,0.19266666666666668,no_defect
1,1.0093333333333334,1.026,0.5306666666666666,1.94,1.0106666666666666,1.418,0.524,0.6066666666666667,0.98,0.14733333333333334,0.25466666666666665,0.18933333333333333,no_defect
1,1.0086666666666666,1.0256666666666667,0.5306666666666666,1.9406666666666668,1.0083333333333333,1.4173333333333333,0.5273333333333333,0.6093333333333333,0.9786666666666667,0.14633333333333334,0.25466666666666665,0.19,no_defect
1,1.0083333333333333,1.0256666666666667,0.5313333333333333,1.9406666666666668,1.008,1.4173333333333333,0.528,0.6093333333333333,0.9786666666666667,0.147,0.25466666666666665,0.19,no_defect
1,1.0076666666666667,1.024,0.5353333333333333,1.9453333333333334,1.007,1.4176666666666666,0.5286666666666666,0.6086666666666667,0.9776666666666667,0.147,0.25533333333333336,0.19,no_defect
1,1.0053333333333334,1.0256666666666667,0.5333333333333333,1.9446666666666668,1.006,1.418,0.5266666666666666,0.608,0.976,0.14733333333333334,0.25466666666666665,0.19066666666666668,no_defect
1,1.0056666666666667,1.025,0.534,1.946,1.0063333333333333,1.4176666666666666,0.5273333333333333,0.6086666666666667,0.9756666666666667,0.14633333333333334,0.254,0.19,no_defect
1,1.007,1.0246666666666666,0.5366666666666666,1.9453333333333334,1.007,1.4173333333333333,0.5286666666666666,0.608,0.977,0.146,0.254,0.18933333333333333,no_defect
1,1.0063333333333333,1.0246666666666666,0.5326666666666666,1.9453333333333334,1.0066666666666666,1.418,0.528,0.6066666666666667,0.9766666666666667,0.14633333333333334,0.25466666666666665,0.19,no_defect
1,1.0036666666666667,1.0243333333333333,0.5326666666666666,1.9473333333333334,1.0036666666666667,1.418,0.5286666666666666,0.6066666666666667,0.9726666666666667,0.146,0.252,0.19066666666666668,no_defect
1,1.0046666666666666,1.0233333333333334,0.5333333333333333,1.948,1.005,1.4183333333333332,0.5273333333333333,0.6073333333333333,0.974,0.145,0.25333333333333335,0.19,no_defect
1,1.0046666666666666,1.0233333333333334,0.532,1.9466666666666668,1.0043333333333333,1.418,0.5273333333333333,0.608,0.9733333333333334,0.14566666666666667,0.252,0.19133333333333333,no_defect
1,1.0016666666666667,1.0223333333333333,0.5313333333333333,1.9486666666666668,1.001,1.4186666666666667,0.5286666666666666,0.6053333333333333,0.9716666666666667,0.14433333333333334,0.254,0.19,no_defect
1,1.0026666666666666,1.0223333333333333,0.5346666666666666,1.95,1.0026666666666666,1.4186666666666667,0.532,0.6066666666666667,0.9726666666666667,0.14333333333333334,0.256,0.18933333333333333,no_defect
1,1.0056666666666667,1.022,0.5366666666666666,1.948,1.0046666666666666,1.4183333333333332,0.532,0.6073333333333333,0.975,0.14533333333333334,0.254,0.192,no_defect
1,1.007,1.022,0.5366666666666666,1.9493333333333334,1.0066666666666666,1.418,0.5306666666666666,0.6066666666666667,0.9776666666666667,0.144,0.25666666666666665,0.18933333333333333,no_defect
1,1.0116666666666667,1.021,0.5353333333333333,1.9473333333333334,1.0113333333333334,1.4173333333333333,0.5306666666666666,0.6053333333333333,0.9823333333333333,0.14566666666666667,0.258,0.194,no_defect
1,1.016,1.0236666666666667,0.536,1.9433333333333334,1.0146666666666666,1.4183333333333332,0.5293333333333333,0.6046666666666667,0.986,0.14666666666666667,0.25733333333333336,0.19466666666666665,no_defect
1,1.018,1.0243333333333333,0.5346666666666666,1.9446666666666668,1.0163333333333333,1.419,0.5313333333333333,0.6033333333333334,0.989,0.14733333333333334,0.258,0.196,no_defect
1,1.019,1.0236666666666667,0.534,1.9473333333333334,1.0166666666666666,1.4193333333333333,0.5333333333333333,0.6026666666666667,0.989,0.14666666666666667,0.258,0.19466666666666665,no_defect
1,1.021,1.0236666666666667,0.534,1.946,1.0193333333333334,1.4203333333333332,0.5333333333333333,0.6046666666666667,0.9906666666666667,0.146,0.25733333333333336,0.19333333333333333,no_defect
1,1.0206666666666666,1.0233333333333334,0.5333333333333333,1.9453333333333334,1.0193333333333334,1.4196666666666666,0.532,0.6033333333333334,0.9903333333333333,0.14533333333333334,0.25666666666666665,0.19066666666666668,no_defect
1,1.022,1.023,0.532,1.946,1.0206666666666666,1.42,0.532,0.6026666666666667,0.9923333333333333,0.14566666666666667,0.258,0.19266666666666668,no_defect
1,1.0223333333333333,1.0236666666666667,0.5313333333333333,1.9446666666666668,1.0206666666666666,1.4203333333333332,0.532,0.602,0.993,0.14466666666666667,0.26066666666666666,0.19333333333333333,no_defect
1,1.0243333333333333,1.0233333333333334,0.5313333333333333,1.9453333333333334,1.0226666666666666,1.4203333333333332,0.5306666666666666,0.6006666666666667,0.9943333333333333,0.147,0.25933333333333336,0.194,no_defect
1,1.0263333333333333,1.0233333333333334,0.5313333333333333,1.9466666666666668,1.0273333333333334,1.4183333333333332,0.5266666666666666,0.5993333333333334,0.9953333333333333,0.14633333333333334,0.25733333333333336,0.194,no_defect
1,1.0276666666666667,1.0233333333333334,0.5326666666666666,1.948,1.0283333333333333,1.4183333333333332,0.5273333333333333,0.6006666666666667,0.9963333333333333,0.14633333333333334,0.258,0.19666666666666666,no_defect
1,1.0273333333333334,1.021,0.5346666666666666,1.9486666666666668,1.0286666666666666,1.418,0.5266666666666666,0.5986666666666667,0.9966666666666667,0.15066666666666667,0.25733333333333336,0.20666666666666667,no_defect
1,1.026,1.021,0.5333333333333333,1.9486666666666668,1.027,1.4193333333333333,0.5286666666666666,0.5986666666666667,0.9963333333333333,0.14866666666666667,0.258,0.2,no_defect
1,1.0273333333333334,1.02,0.5346666666666666,1.948,1.0286666666666666,1.4183333333333332,0.5266666666666666,0.5993333333333334,0.9973333333333333,0.149,0.25866666666666666,0.202,no_defect
1,1.0253333333333334,1.0206666666666666,0.5346666666666666,1.9493333333333334,1.0263333333333333,1.4203333333333332,0.5286666666666666,0.6006666666666667,0.9956666666666667,0.14833333333333334,0.258,0.202,no_defect
1,1.0293333333333334,1.0216666666666667,0.5346666666666666,1.9486666666666668,1.0286666666666666,1.4206666666666667,0.5293333333333333,0.6013333333333334,0.9973333333333333,0.155,0.25733333333333336,0.21666666666666667,no_defect
1,1.027,1.019,0.5353333333333333,1.9513333333333334,1.0263333333333333,1.421,0.53,0.602,0.9973333333333333,0.14766666666666667,0.25866666666666666,0.20866666666666667,no_defect
1,1.0283333333333333,1.019,0.5353333333333333,1.95,1.0283333333333333,1.421,0.5286666666666666,0.602,0.999,0.15033333333333335,0.25933333333333336,0.20866666666666667,no_defect
